school_id,name,address,city,zip_code,school_type,latitude,longitude,school_rating,district_id
101921107,WILLOW CREEK ELEMENTARY,18302 N ELDRIDGE PKWY,TOMBALL,77377,Elementary,30.025112,-95.607686,85,17
101921043,WILLOW WOOD JUNIOR HIGH ,11770 GREGSON RD,TOMBALL,77377,Middle,30.026958,-95.605498,95,17
101907118,WILSON ELEMENTARY,18015 KIETH HARROW BLVD,HOUSTON,77084,Elementary,29.848549,-95.678509,75,1
101912259,WILSON MONTESSORI ELEMENTARY,2100 YUPON ST,HOUSTON,77006,Elementary,29.747941,-95.399847,75,5
101912259,WILSON MONTESSORI MIDDLE,2100 YUPON ST,HOUSTON,77006,Middle,29.747941,-95.399847,75,5
101912260,WINDSOR VILLAGE ELEMENTARY,14440 POLO ST,HOUSTON,77085,Elementary,29.61726,-95.471686,85,5
101912009,WISDOM HIGH,6529 BEVERLY HILL LN,HOUSTON,77057,High,29.729108,-95.497085,75,5
101907157,WOODARD ELEMENTARY,17501 CYPRESS N HOUSTON RD,CYPRESS,77433,Elementary,29.984296,-95.689663,95,1
101914129,WOODCREEK ELEMENTARY,1155 WOODCREEK BEND LN,KATY,77494,Elementary,29.766626,-95.832946,95,12
101914052,WOODCREEK JUNIOR HIGH ,1801 WOOD CREEK BEND LN,KATY,77494,Middle,29.760182,-95.830407,95,12
101913048,WOODCREEK MIDDLE,14600 WOODSON PARK DR,HOUSTON,77044,Middle,29.932254,-95.201056,75,8
101910110,WOODLAND ACRES ELEMENTARY,12936 SARAH LN,HOUSTON,77015,Elementary,29.765193,-95.200155,95,18
101910043,WOODLAND ACRES MIDDLE,12947 MYRTLE LN,HOUSTON,77015,Middle,29.763129,-95.200198,85,18
101913105,WOODLAND HILLS ELEMENTARY,2222 TREE LN,KINGWOOD,77339,Elementary,30.058932,-95.213345,85,8
101912127,WOODSON SCHOOL ELEMENTARY,10720 SOUTHVIEW ST,HOUSTON,77047,Elementary,29.642846,-95.3664,85,5
101920117,WOODVIEW ELEMENTARY,9749 CEDARDALE,HOUSTON,77055,Elementary,29.790477,-95.533038,65,15
101902110,WORSHAM ELEMENTARY,3007 HARTWICK RD,HOUSTON,77093,Elementary,29.885625,-95.340707,65,6
101912019,WORTHING HIGH,9215 SCOTT ST,HOUSTON,77051,High,29.656899,-95.366578,75,5
101915043,WUNDERLICH INTERMEDIATE,11800 MISTY VLY,HOUSTON,77066,Middle,29.96639,-95.501392,75,13
101912020,YATES HIGH,3703 SAMPSON ST,HOUSTON,77004,High,29.723287,-95.354099,65,5
101907109,YEAGER ELEMENTARY,13615 CHAMPION FOREST DR,HOUSTON,77069,Elementary,29.971927,-95.539752,85,1
101903101,YOUENS ELEMENTARY,12141 HIGH STAR,HOUSTON,77072,Elementary,29.710763,-95.59318,75,4
101917130,YOUNG ELEMENTARY,4221 FOX MEADOW LN,PASADENA,77504,Elementary,29.647297,-95.197416,75,9
101912247,YOUNG ELEMENTARY,3555 BELLFORT AVE,HOUSTON,77051,Elementary,29.669913,-95.370487,55,5
101912463,YOUNG WOMEN'S COLLEGE PREP ACADEMY HIGH,1906 CLEBURNE ST,HOUSTON,77004,High,29.731242,-95.374489,95,5
101912463,YOUNG WOMEN'S COLLEGE PREP ACADEMY MIDDLE,1906 CLEBURNE ST,HOUSTON,77004,Middle,29.731242,-95.374489,95,5
101903142,YOUNGBLOOD INTERMEDIATE,8410 DAIRY VIEW LN,HOUSTON,77072,Elementary,29.686502,-95.600503,85,4
101914105,ZELMA HUTSELL ELEMENTARY,5360 FRANZ RD,KATY,77493,Elementary,29.802474,-95.814553,85,12
101915128,ZWINK ELEMENTARY,22200 FRASSATI WAY,SPRING,77389,Elementary,30.086245,-95.487361,95,13
